id,camera_shake,camera_zoom,camera_recoil
765601,true,false,false
990634,true,true,false
C04975,true,true,false
C10231,true,false,true
C12698,false,true,true
C15017,true,false,true
C16694,true,true,false
C20656,true,false,false
C22732,true,true,true
C23644,true,true,true
C27171,true,true,true
C27336,true,false,true
C30970,true,false,false
C32253,true,false,false
C32715,false,false,true
C36370,true,false,true
C38650,true,false,false
C41840,true,true,true
C4D265,true,true,true
C4D902,true,false,true
C4E127,true,true,true
C4E990,true,true,false
C4F035,true,true,true
C4F673,false,true,false
C4G711,true,false,true
C4J956,true,false,true
C4L669,false,true,true
C5C539,false,true,false
C5C743,true,false,false
C5D447,false,true,true
C5D722,false,false,true
C5F137,false,true,true
C5F936,false,false,false
C5G190,false,true,false
C5G661,false,true,false
C5J152,true,true,true
C5J364,false,false,false
C5J686,false,true,true
C5J781,false,true,true
C5L548,true,true,true
C6C031,true,false,false
C6C110,false,true,false
C6C128,true,true,true
C6C134,false,false,true
C6C219,true,true,true
C6C267,true,false,true
C6C335,true,false,true
C6C662,false,true,false
C6C683,true,true,true
C6C740,true,true,true
C6C990,false,false,false
C6D171,false,true,false
C6D245,false,false,true
C6D270,true,false,true
C6D298,false,true,false
C6D516,true,true,true
C6D595,false,false,false
C6D601,false,true,true
C6D710,true,true,false
C6D714,true,true,true
C6D717,false,true,true
C6D796,false,false,true
C6D817,false,true,true
C6D912,false,true,false
C6E014,false,true,false
C6E049,true,false,false
C6E077,true,false,true
C6E248,true,true,false
C6E291,true,false,false
C6E333,true,false,false
C6E428,true,true,false
C6E448,false,false,true
C6E631,true,false,true
C6E738,true,false,true
C6E800,false,false,false
C6E934,true,true,false
C6E943,false,false,false
C6E968,true,false,true
C6E975,true,true,false
C6F079,true,false,true
C6F087,false,true,true
C6F196,true,false,false
C6F221,false,true,true
C6F230,false,true,false
C6F310,false,true,true
C6F377,true,true,false
C6F410,false,true,true
C6F428,false,false,false
C6F475,false,true,false
C6F643,true,true,false
C6F681,true,true,false
C6F831,false,false,false
C6F960,true,false,true
C6F972,false,true,false
C6H036,false,false,true
C6H086,true,false,false
C6H217,false,true,true
C6H280,false,false,false
C6H284,true,true,false
C6H469,false,true,false
C6H486,false,false,false
C6H502,true,true,false
C6H564,true,true,true
C6H576,true,false,false
C6H626,true,true,false
C6H824,true,true,true
C6H934,false,true,false
C6J061,false,true,true
C6J068,false,false,false
C6J145,true,true,true
C6J149,false,false,false
C6J186,true,false,false
C6J214,false,false,true
C6J251,false,false,true
C6J329,true,true,true
C6J409,false,false,true
C6J480,false,false,true
C6J565,true,false,false
C6J755,true,true,true
C6J781,false,true,true
C6J817,false,false,true
C6J969,false,true,false
C6J976,false,true,true
C6K050,false,false,false
C6K051,false,true,true
C6K100,true,true,false
C6K468,true,false,false
C6K596,false,false,true
C6K604,false,false,true
C6K735,true,false,true
C6K793,true,true,false
C6K904,false,false,false
C6K949,false,true,false
C6K956,true,false,false
C6K973,true,true,false
C6M132,true,false,false
C6M153,false,true,true
C6M207,false,true,true
C6M259,false,false,false
C6M326,false,true,true
C6M369,false,false,false
C6M384,false,false,false
C6M464,false,false,false
C6M619,true,true,false
C6M649,false,true,false
C6M658,true,true,false
C6M671,false,true,false
C6M734,false,false,true
C6M780,false,false,true
C6M899,false,false,true
C6M962,true,false,false
C6N030,true,true,false
C6N052,true,false,true
C6N099,true,true,false
C6N101,true,false,false
C6N136,false,false,true
C6N171,true,false,false
C6N196,false,true,false
C6N290,true,true,true
C6N291,false,false,true
C6N421,false,false,false
C6N456,false,false,false
C6N554,false,false,true
C6N594,true,true,true
C6N647,true,true,false
C6N678,true,false,false
C6N732,false,true,false
C6N926,false,false,true
C6N981,true,false,true
C6P102,true,false,true
C6P270,true,true,true
C6P283,false,false,true
C6P414,false,true,true
C6P512,false,false,false
C6P570,false,false,true
C6P592,true,false,true
C6P601,true,true,true
C6P618,false,true,false
C6P670,true,false,false
C6P814,true,false,true
C6P845,true,false,true
C6P847,true,true,false
C6P853,false,false,false
C6P919,false,true,true
C6Q124,false,false,false
C6Q167,false,true,false
Dariel,false,true,true